P31946	ENSG00000166913.13
Q9NRG9	ENSG00000094914.14
Q9NRG9	ENSG00000291836.1
Q15758	ENSG00000105281.13
Q86V21	ENSG00000081760.17
P01011	ENSG00000196136.18
Q8N5Z0	ENSG00000109576.14
Q6PD74	ENSG00000103591.13
Q2M2I8	ENSG00000115977.21
Q9Y478	ENSG00000111725.11
O43741	ENSG00000131791.8
P54619	ENSG00000181929.13
Q9UGJ0	ENSG00000106617.16
Q9UGI9	ENSG00000115592.13
Q9H7C9	ENSG00000087884.16
Q13685	ENSG00000127837.10
Q13131	ENSG00000132356.12
P54646	ENSG00000162409.12
Q9Y312	ENSG00000131043.13
Q4LEZ3	ENSG00000205002.4
Q9BTE6	ENSG00000108825.18
Q9BTE6	ENSG00000266967.7
Q9UDR5	ENSG00000008311.16
Q8NHS2	ENSG00000169154.7
P17174	ENSG00000120053.12
Q9NY61	ENSG00000275700.6
Q9NY61	ENSG00000276072.2
P00505	ENSG00000125166.13
Q7Z5M8	ENSG00000131969.15
Q96GS6	ENSG00000129968.17
Q5VST6	ENSG00000107362.14
Q6PCB6	ENSG00000136379.12
Q7Z5R6	ENSG00000077420.17
P31941	ENSG00000128383.14
P31941	ENSG00000262156.6
Q9UH17	ENSG00000179750.16
Q9NRW3	ENSG00000244509.4
Q96AK3	ENSG00000243811.12
Q8IUX4	ENSG00000128394.17
Q9HC16	ENSG00000239713.9
Q6NTF7	ENSG00000100298.16
O95477	ENSG00000165029.17
Q9BZC7	ENSG00000107331.18
Q99758	ENSG00000167972.14
P78363	ENSG00000198691.14
Q8WWZ7	ENSG00000154265.16
Q8N139	ENSG00000154262.13
Q8IZY2	ENSG00000064687.13
O94911	ENSG00000141338.15
Q8IUA7	ENSG00000154258.17
Q8WWZ4	ENSG00000154263.18
Q86UK0	ENSG00000144452.15
Q86UQ4	ENSG00000179869.15
Q2M3G0	ENSG00000004846.17
Q9NP58	ENSG00000115657.14
O75027	ENSG00000131269.19
Q9NP78	ENSG00000150967.19
Q9NRK6	ENSG00000135776.5
O95342	ENSG00000073734.10
Q09428	ENSG00000006071.16
O60706	ENSG00000069431.14
P33897	ENSG00000101986.12
Q9UBJ2	ENSG00000173208.4
P28288	ENSG00000117528.14
O14678	ENSG00000119688.21
P61221	ENSG00000164163.11
Q8NE71	ENSG00000204574.14
Q8NE71	ENSG00000206490.11
Q8NE71	ENSG00000236342.8
Q8NE71	ENSG00000232169.9
Q8NE71	ENSG00000225989.9
Q8NE71	ENSG00000231129.8
Q8NE71	ENSG00000236149.9
Q9UG63	ENSG00000033050.9
Q9NUQ8	ENSG00000161204.12
P45844	ENSG00000160179.20
Q9UNQ0	ENSG00000118777.12
Q9H172	ENSG00000172350.10
Q9H222	ENSG00000138075.14
Q9H221	ENSG00000143921.9
Q8N2K0	ENSG00000100997.20
Q0P651	ENSG00000164074.17
P41238	ENSG00000111701.7
Q9Y235	ENSG00000124701.6
Q8WW27	ENSG00000173627.8
Q6UXT9	ENSG00000168792.5
Q96SE0	ENSG00000143994.14
P08910	ENSG00000140526.18
Q8WU67	ENSG00000158201.10
Q8TB40	ENSG00000100439.11
Q8WTS1	ENSG00000011198.10
Q9BV23	ENSG00000163686.15
Q96I13	ENSG00000127220.6
Q9NUJ1	ENSG00000144827.9
Q8NFV4	ENSG00000106077.19
Q7L211	ENSG00000139826.6
Q9BUJ0	ENSG00000248487.10
Q96IU4	ENSG00000114779.20
O95870	ENSG00000204427.12
O95870	ENSG00000206403.11
O95870	ENSG00000230475.9
O95870	ENSG00000236063.9
O95870	ENSG00000235676.9
O95870	ENSG00000231488.9
O95870	ENSG00000224552.9
Q9H3Z7	ENSG00000183260.7
Q8IZP0	ENSG00000136754.18
Q9NYB9	ENSG00000138443.17
Q9P2A4	ENSG00000108798.9
Q9NX38	ENSG00000119328.12
P00519	ENSG00000097007.20
P42684	ENSG00000143322.22
O14639	ENSG00000099204.23
Q6H8Q1	ENSG00000163995.22
O94929	ENSG00000173210.21
Q9P1F3	ENSG00000146386.8
Q8N0Z2	ENSG00000174429.4
Q6UWZ7	ENSG00000163322.14
Q15018	ENSG00000165660.8
Q12979	ENSG00000159842.16
Q12979	ENSG00000276016.4
Q12979	ENSG00000278741.4
Q9ULW3	ENSG00000146109.5
Q9ULW3	ENSG00000292169.1
Q969K4	ENSG00000114626.18
Q8N961	ENSG00000166016.6
A6QL63	ENSG00000151136.15
Q13085	ENSG00000275176.4
Q13085	ENSG00000278540.5
O00763	ENSG00000076555.16
Q9UKU7	ENSG00000151498.12
Q9H845	ENSG00000177646.20
P28330	ENSG00000115361.8
P11310	ENSG00000117054.15
P16219	ENSG00000122971.9
P49748	ENSG00000072778.20
Q15027	ENSG00000072818.12
Q15027	ENSG00000288169.1
Q15057	ENSG00000114331.16
Q96P50	ENSG00000131584.19
O00400	ENSG00000169359.16
Q8NC06	ENSG00000181513.15
Q5T8D3	ENSG00000107897.20
Q9BR61	ENSG00000230124.8
Q8N6N7	ENSG00000176244.7
Q96GR2	ENSG00000103740.10
Q5FVE4	ENSG00000130377.14
P07108	ENSG00000155368.18
Q6JQN1	ENSG00000111271.15
Q709F0	ENSG00000240303.8
P45954	ENSG00000196177.13
Q96AP0	ENSG00000102977.18
Q9BYF1	ENSG00000130234.13
Q8TDN7	ENSG00000167769.5
Q5QJU3	ENSG00000177076.6
Q9NUN7	ENSG00000078124.13
P22303	ENSG00000087085.16
P12821	ENSG00000159640.17
Q9GZZ6	ENSG00000129749.3
Q15822	ENSG00000120903.13
P32297	ENSG00000080644.16
P43681	ENSG00000101204.18
P30532	ENSG00000169684.13
Q15825	ENSG00000147434.9
P36544	ENSG00000175344.19
P36544	ENSG00000274542.1
Q9UGM1	ENSG00000174343.6
P02708	ENSG00000138435.16
P17787	ENSG00000160716.6
Q05901	ENSG00000147432.7
P30926	ENSG00000117971.12
P11230	ENSG00000170175.11
P11230	ENSG00000283946.2
Q07001	ENSG00000135902.10
Q04844	ENSG00000108556.10
P07510	ENSG00000196811.13
Q9UKV3	ENSG00000100813.15
Q07912	ENSG00000061938.21
Q6P4H8	ENSG00000150756.14
Q16570	ENSG00000213088.14
O00590	ENSG00000144648.16
P25106	ENSG00000144476.6
Q9NPB9	ENSG00000129048.7
Q5JWF8	ENSG00000288649.2
O96019	ENSG00000136518.17
O94805	ENSG00000077080.10
Q9Y615	ENSG00000187003.7
Q9Y614	ENSG00000148156.8
P53396	ENSG00000131473.17
P11229	ENSG00000168539.4
P08172	ENSG00000181072.12
P20309	ENSG00000133019.12
P08173	ENSG00000180720.8
P08912	ENSG00000184984.10
Q8TDX5	ENSG00000153086.14
Q8WXI4	ENSG00000162390.18
Q8WYK0	ENSG00000172497.9
Q9NPJ3	ENSG00000112304.11
P21399	ENSG00000122729.19
Q99798	ENSG00000100412.17
Q86TX2	ENSG00000184227.8
P49753	ENSG00000119673.16
Q8N9L9	ENSG00000177465.5
Q3I5F7	ENSG00000205669.4
O14734	ENSG00000101473.17
Q9Y305	ENSG00000123130.17
Q15067	ENSG00000161533.12
Q99424	ENSG00000168306.13
O15254	ENSG00000087008.16
Q9NUZ1	ENSG00000153093.21
Q6ZNF0	ENSG00000183760.11
P13798	ENSG00000164062.13
O14561	ENSG00000004779.10
Q8NEB7	ENSG00000111644.8
P10323	ENSG00000100312.11
P10323	ENSG00000291368.1
Q08AH3	ENSG00000183747.12
Q68CK6	ENSG00000066813.14
Q9NUB1	ENSG00000154930.15
Q9NR19	ENSG00000131069.20
Q96CM8	ENSG00000167107.13
Q4G176	ENSG00000176715.17
Q4L235	ENSG00000157426.14
P33121	ENSG00000151726.16
O95573	ENSG00000123983.15
O60488	ENSG00000068366.21
Q9ULC5	ENSG00000197142.11
Q9UKU0	ENSG00000164398.15
Q08AH1	ENSG00000166743.10
Q53FZ2	ENSG00000005187.12
P0C7M7	ENSG00000215009.6
Q6NUN0	ENSG00000183549.10
Q6P461	ENSG00000173124.15
Q9H6R3	ENSG00000111058.8
P62736	ENSG00000107796.14
Q562R1	ENSG00000169067.4
P60709	ENSG00000075624.17
P68032	ENSG00000159251.10
P63261	ENSG00000184009.13
P63261	ENSG00000291420.1
Q01718	ENSG00000185231.5
P63267	ENSG00000163017.14
Q9H568	ENSG00000117148.8
Q8TC94	ENSG00000181786.6
Q5BKX5	ENSG00000188493.15
P12814	ENSG00000072110.17
P35609	ENSG00000077522.15
Q08043	ENSG00000248746.6
O43707	ENSG00000130402.14
O43707	ENSG00000282844.2
P68133	ENSG00000143632.15
Q8TDG2	ENSG00000123165.9
Q8TDY3	ENSG00000169717.7
Q9BYD9	ENSG00000184378.3
P42025	ENSG00000115073.8
P42025	ENSG00000291597.1
P61163	ENSG00000138107.13
P36896	ENSG00000135503.13
Q8NER5	ENSG00000123612.16
P37023	ENSG00000139567.14
Q04771	ENSG00000115170.16
Q03154	ENSG00000243989.9
P45381	ENSG00000108381.11
Q96HD9	ENSG00000132744.8
P07311	ENSG00000119640.9
P14621	ENSG00000170634.13
O14672	ENSG00000137845.15
O75078	ENSG00000073670.14
O43184	ENSG00000148848.15
Q13444	ENSG00000143537.14
P78536	ENSG00000151694.15
Q9Y3Q7	ENSG00000168619.16
Q9Y3Q7	ENSG00000278548.4
Q9H013	ENSG00000135074.16
P35348	ENSG00000120907.18
P35368	ENSG00000170214.5
P25100	ENSG00000171873.8
O43506	ENSG00000134007.5
Q9UKJ8	ENSG00000139985.8
Q9P0K1	ENSG00000008277.15
O75077	ENSG00000114948.13
Q9UKQ2	ENSG00000042980.14
Q9UKF5	ENSG00000168594.15
P08913	ENSG00000150594.7
P18089	ENSG00000274286.2
P18825	ENSG00000184160.8
Q9NZK5	ENSG00000093072.19
Q9UKF2	ENSG00000134249.7
Q8TC27	ENSG00000197140.15
Q8TC27	ENSG00000275594.4
Q9BZ11	ENSG00000149451.19
Q96M93	ENSG00000164113.11
Q8NCV1	ENSG00000140955.11
Q6DHV7	ENSG00000168803.16
Q99965	ENSG00000104755.16
Q99965	ENSG00000276286.4
Q9H2U9	ENSG00000069206.15
P78325	ENSG00000151651.16
Q13443	ENSG00000168615.13
O75689	ENSG00000105963.15
Q9NPF8	ENSG00000184060.12
O00116	ENSG00000018510.18
Q9BUB4	ENSG00000065457.11
Q7Z6V5	ENSG00000189007.16
P00813	ENSG00000196839.14
Q86TW2	ENSG00000063761.16
Q7Z695	ENSG00000133597.11
Q3MIX3	ENSG00000173137.12
Q3MIX3	ENSG00000285451.2
Q6P093	ENSG00000197953.6
Q6P093	ENSG00000261846.2
Q5VUY0	ENSG00000188984.12
Q5VUY2	ENSG00000204518.3
Q08828	ENSG00000164742.16
Q08462	ENSG00000078295.17
O60266	ENSG00000138031.15
Q8NFM4	ENSG00000129467.14
Q8NFM4	ENSG00000284814.1
O95622	ENSG00000173175.16
O43306	ENSG00000174233.12
P51828	ENSG00000121281.13
P40145	ENSG00000155897.10
O60503	ENSG00000162104.10
Q96PN6	ENSG00000143199.18
P35611	ENSG00000087274.19
P35612	ENSG00000075340.23
Q9UEY8	ENSG00000148700.15
O15204	ENSG00000134028.14
Q8N7X0	ENSG00000118492.19
P07327	ENSG00000187758.8
P00325	ENSG00000196616.15
P00326	ENSG00000248144.6
P08319	ENSG00000198099.10
P28332	ENSG00000172955.17
P40394	ENSG00000196344.12
P11766	ENSG00000197894.12
Q0VDE8	ENSG00000182035.13
Q5T7M4	ENSG00000184163.3
Q15848	ENSG00000181092.10
Q9Y2D8	ENSG00000117155.17
Q15847	ENSG00000148671.15
P55263	ENSG00000156110.15
Q7Z4H4	ENSG00000128165.9
C9JUS6	ENSG00000224420.4
P35318	ENSG00000148926.10
Q6IQ32	ENSG00000101544.9
Q9H2P0	ENSG00000101126.18
Q9BRR6	ENSG00000159322.18
Q9NRN7	ENSG00000149313.11
P54922	ENSG00000144843.12
Q3LIE5	ENSG00000170222.12
Q9NX46	ENSG00000116863.11
P08588	ENSG00000043591.6
P07550	ENSG00000169252.6
P13945	ENSG00000188778.6
Q16186	ENSG00000130706.13
P22570	ENSG00000161513.12
Q9GZN8	ENSG00000101220.18
P12235	ENSG00000151729.11
P05141	ENSG00000005022.6
P12236	ENSG00000169100.14
P12236	ENSG00000292334.1
Q9H0C2	ENSG00000151475.6
Q96IZ2	ENSG00000111863.13
P10109	ENSG00000137714.3
Q8IUX7	ENSG00000106624.11
Q6ZN18	ENSG00000139154.16
Q96SZ5	ENSG00000181915.6
Q6UXC1	ENSG00000177943.14
Q8WTP8	ENSG00000181026.15
P55197	ENSG00000078403.17
P55198	ENSG00000275851.4
P55198	ENSG00000275023.5
Q8TED9	ENSG00000157510.14
Q8N4X5	ENSG00000169129.16
Q13015	ENSG00000213190.4
P42568	ENSG00000171843.17
P55196	ENSG00000130396.22
P43652	ENSG00000079557.5
Q8N556	ENSG00000196526.11
P51825	ENSG00000172493.23
P51816	ENSG00000155966.14
P51826	ENSG00000144218.21
Q9UHB7	ENSG00000072364.13
Q8WV93	ENSG00000135537.17
Q8NB90	ENSG00000145375.9
Q9BVQ7	ENSG00000171763.20
Q9Y4W6	ENSG00000141385.12
Q6ULP2	ENSG00000119844.17
Q5BKT4	ENSG00000139133.7
Q5I7T1	ENSG00000175548.9
C9J202	ENSG00000251287.9
P06280	ENSG00000102393.15
Q9UPQ3	ENSG00000157985.20
Q99490	ENSG00000135439.12
Q96P47	ENSG00000133612.20
Q96P64	ENSG00000188234.15
A6NIR3	ENSG00000172650.15
Q5VW22	ENSG00000204149.16
Q5VTM2	ENSG00000204172.12
P52594	ENSG00000173744.18
O95081	ENSG00000106351.13
Q8N302	ENSG00000164252.13
Q53H12	ENSG00000006530.18
Q53H12	ENSG00000262327.7
O95394	ENSG00000013375.17
Q9UL18	ENSG00000092847.14
Q9UKV8	ENSG00000123908.12
Q9H9G7	ENSG00000126070.20
Q9HCK5	ENSG00000134698.11
O95994	ENSG00000106541.12
Q8TD06	ENSG00000173467.9
Q86SQ6	ENSG00000197177.16
Q96PE1	ENSG00000020181.18
Q8IWK6	ENSG00000152990.14
O14514	ENSG00000181790.13
O60241	ENSG00000121753.13
O60242	ENSG00000135298.15
Q6QNK2	ENSG00000111452.13
Q14246	ENSG00000174837.15
Q9UHX3	ENSG00000127507.18
Q9BY15	ENSG00000131355.16
P48960	ENSG00000123146.20
Q5T601	ENSG00000153292.16
Q8IZF5	ENSG00000173567.16
Q8IZF3	ENSG00000153294.12
Q8IZF2	ENSG00000069122.19
Q9Y653	ENSG00000205336.14
Q8IZP9	ENSG00000173698.18
Q86Y34	ENSG00000182885.17
Q8IZF6	ENSG00000156920.11
Q8IZF4	ENSG00000159618.16
Q86SQ4	ENSG00000112414.15
Q96K78	ENSG00000144820.8
O00468	ENSG00000188157.16
O94910	ENSG00000072071.17
O94910	ENSG00000288324.1
O95490	ENSG00000117114.21
Q9HAR2	ENSG00000150471.17
Q9HBW9	ENSG00000162618.15
O00253	ENSG00000159723.5
Q8WXG9	ENSG00000164199.18
P21549	ENSG00000172482.5
Q9BYV1	ENSG00000113492.14
P30556	ENSG00000144891.19
P50052	ENSG00000180772.8
Q5TGY3	ENSG00000126705.15
Q8N157	ENSG00000135541.22
Q8IVF2	ENSG00000185567.7
Q09666	ENSG00000124942.14
P35869	ENSG00000106546.14
O95433	ENSG00000100591.8
Q9NZD4	ENSG00000169877.10
Q9GZX7	ENSG00000111732.12
Q96BJ3	ENSG00000186063.13
Q9BQI0	ENSG00000126878.13
P55008	ENSG00000204472.13
P55008	ENSG00000206428.9
P55008	ENSG00000235985.7
P55008	ENSG00000237727.7
P55008	ENSG00000234836.7
P55008	ENSG00000235588.8
O95831	ENSG00000156709.15
Q96NN9	ENSG00000183773.16
Q9NVV5	ENSG00000146416.19
O14862	ENSG00000163568.17
Q12904	ENSG00000164022.18
Q13155	ENSG00000106305.10
Q16352	ENSG00000148798.11
Q9NZN9	ENSG00000129221.16
O00170	ENSG00000110711.11
O43918	ENSG00000160224.17
Q9NX04	ENSG00000116922.15
Q9UKB5	ENSG00000196581.11
C9J069	ENSG00000232434.3
Q96IF1	ENSG00000129474.17
Q02040	ENSG00000197976.12
Q02040	ENSG00000292343.1
P14550	ENSG00000117448.14
O60218	ENSG00000198074.10
C9JRZ8	ENSG00000227471.9
Q04828	ENSG00000187134.14
P52895	ENSG00000151632.18
P42330	ENSG00000196139.14
P17516	ENSG00000198610.11
P51857	ENSG00000122787.15
Q53H64	ENSG00000167117.10
O43572	ENSG00000108599.15
Q9UKA4	ENSG00000023516.9
Q02952	ENSG00000131016.17
Q86UN6	ENSG00000186471.13
O43687	ENSG00000118507.19
Q9P0M2	ENSG00000118507.19
P0CW23	ENSG00000231824.4
Q92667	ENSG00000121057.13
O75969	ENSG00000111254.8
Q5JQC9	ENSG00000147081.15
P24588	ENSG00000179841.8
Q13023	ENSG00000151320.11
O43823	ENSG00000105127.10
Q99996	ENSG00000127914.19
Q5T2L2	ENSG00000264006.9
Q96JD6	ENSG00000165568.18
Q495B1	ENSG00000166839.18
A6NHY2	ENSG00000189045.15
Q9P2G1	ENSG00000001629.10
Q9NQ31	ENSG00000166452.12
Q9NWT8	ENSG00000175756.14
Q9H9L7	ENSG00000174574.16
Q53H80	ENSG00000135334.9
Q7Z591	ENSG00000106948.17
Q5T1N1	ENSG00000162641.20
Q12802	ENSG00000170776.22
Q9ULX6	ENSG00000011243.19
P31749	ENSG00000142208.19
P31751	ENSG00000105221.18
Q9Y243	ENSG00000117020.19
Q9Y243	ENSG00000275199.4
Q9H8T0	ENSG00000166971.17
Q96B36	ENSG00000204673.11
Q8N8R7	ENSG00000152219.6
P00352	ENSG00000165092.13
O94788	ENSG00000128918.15
P47895	ENSG00000184254.18
P30837	ENSG00000137124.8
O75891	ENSG00000144908.14
Q3SY69	ENSG00000136010.14
Q60I27	ENSG00000178038.17
P30838	ENSG00000108602.18
P51648	ENSG00000072210.19
P43353	ENSG00000006534.17
P48448	ENSG00000132746.16
P30038	ENSG00000159423.17
P20292	ENSG00000132965.10
P49419	ENSG00000164904.18
Q9H2A2	ENSG00000118514.14
P49189	ENSG00000143149.13
P24298	ENSG00000167701.14
Q8TD30	ENSG00000166123.14
P02768	ENSG00000163631.19
P05091	ENSG00000111275.13
P04075	ENSG00000149925.22
P05062	ENSG00000136872.21
P09972	ENSG00000109107.14
P15121	ENSG00000085662.14
Q2TAA5	ENSG00000253710.5
Q9BV10	ENSG00000182858.14
Q9NP73	ENSG00000101901.13
Q96F25	ENSG00000172339.10
Q9BT22	ENSG00000033011.14
Q9H553	ENSG00000119523.10
Q92685	ENSG00000214160.10
Q9Y673	ENSG00000120697.10
Q9Y672	ENSG00000088035.18
Q9BVK2	ENSG00000159063.14
Q9H6U8	ENSG00000086848.15
Q13686	ENSG00000100601.10
Q6NS38	ENSG00000189046.11
Q96Q83	ENSG00000166199.13
Q9NXW9	ENSG00000160993.4
Q6P6C2	ENSG00000091542.9
Q3KRA9	ENSG00000239382.11
Q9BT30	ENSG00000125652.8
Q96BT7	ENSG00000137760.15
Q6UXT8	ENSG00000196711.9
Q6UX46	ENSG00000189292.17
Q6ZNB7	ENSG00000187546.14
Q9UM73	ENSG00000171094.18
Q8N6M5	ENSG00000151360.10
Q8TCU4	ENSG00000116127.20
Q96QP1	ENSG00000073331.18
Q86TB3	ENSG00000198796.7
Q96L96	ENSG00000136383.7
P55789	ENSG00000127554.13
P55789	ENSG00000291944.1
Q96Q42	ENSG00000003393.16
P35858	ENSG00000099769.6
Q15699	ENSG00000180318.4
O95076	ENSG00000156150.9
Q9H161	ENSG00000052850.8
Q9UHK6	ENSG00000242110.9
Q9NP70	ENSG00000178522.15
P02760	ENSG00000106927.12
P19021	ENSG00000145730.21
Q99217	ENSG00000125363.14
Q99218	ENSG00000099721.16
Q5JTC6	ENSG00000184675.11
Q8N7J2	ENSG00000165566.13
Q8N944	ENSG00000178171.12
Q6DCA0	ENSG00000144233.12
Q9UKV5	ENSG00000159461.15
Q86WK6	ENSG00000181754.7
Q86SJ2	ENSG00000139211.7
Q86WK7	ENSG00000176020.9
Q16671	ENSG00000135409.11
Q9Y4X0	ENSG00000101935.13
Q8IY45	ENSG00000151743.11
Q9BXJ7	ENSG00000166126.11
Q8IY63	ENSG00000166025.18
Q9Y2J4	ENSG00000114019.15
Q4VCS5	ENSG00000126016.17
Q9H4A4	ENSG00000176393.11
P23109	ENSG00000116748.22
Q01433	ENSG00000116337.20
Q01432	ENSG00000133805.16
Q07075	ENSG00000138792.10
P49418	ENSG00000078053.17
P28838	ENSG00000002549.13
P15144	ENSG00000166825.15
Q8N6M6	ENSG00000148120.19
Q6Q4G3	ENSG00000172901.21
Q9C0C7	ENSG00000110497.15
P30533	ENSG00000163956.13
Q6UX39	ENSG00000187689.10
P0DUB6	ENSG00000237763.10
P0DTE7	ENSG00000174876.17
P0DTE8	ENSG00000187733.7
P19961	ENSG00000240038.8
P04746	ENSG00000243480.8
Q400G9	ENSG00000174945.14
Q86W34	ENSG00000196704.14
Q8IZ07	ENSG00000076513.17
Q86YJ7	ENSG00000198720.13
Q8N6S4	ENSG00000118454.13
Q6ZTN6	ENSG00000172932.16
Q8IVF6	ENSG00000180071.21
A2A2Z9	ENSG00000230453.11
Q9BXX3	ENSG00000148513.20
Q9BXX2	ENSG00000180777.15
P39687	ENSG00000140350.15
Q92688	ENSG00000136938.9
O95626	ENSG00000139223.4
Q9BTT0	ENSG00000143401.15
A6NCL7	ENSG00000164236.12
Q69YU3	ENSG00000272031.3
A5PLL1	ENSG00000189127.8
P0C6C1	ENSG00000235711.5
A6QL64	ENSG00000135976.21
A6QL64	ENSG00000291582.1
Q8N2N9	ENSG00000196912.13
Q8N2N9	ENSG00000291600.1
Q5JPF3	ENSG00000174501.15
P54802	ENSG00000108784.10
Q9UJX6	ENSG00000176248.9
Q96K21	ENSG00000166140.17
P10275	ENSG00000169083.18
P16860	ENSG00000120937.9
P23582	ENSG00000163273.4
Q9P2R3	ENSG00000185722.18
P01160	ENSG00000175206.11
Q9UNK9	ENSG00000013523.12
Q5VTE6	ENSG00000174606.14
P03950	ENSG00000214274.10
O95841	ENSG00000116194.13
Q9UKU9	ENSG00000136859.10
Q9Y5C1	ENSG00000132855.5
Q9BY76	ENSG00000167772.12
Q86XS5	ENSG00000187151.7
Q8NI99	ENSG00000130812.11
O43827	ENSG00000171819.5
Q6UXH0	ENSG00000130173.14
Q15389	ENSG00000154188.10
O15123	ENSG00000091879.14
Q9Y264	ENSG00000101280.8
P01019	ENSG00000135744.9
E9PGG2	ENSG00000227059.7
P16157	ENSG00000029534.22
Q01484	ENSG00000145362.21
Q12955	ENSG00000151150.22
Q7Z5J8	ENSG00000151687.15
Q9NU02	ENSG00000132623.16
Q8N957	ENSG00000153930.13
Q8IWZ3	ENSG00000131503.21
Q9HCJ1	ENSG00000154122.14
Q8NFD2	ENSG00000170209.5
Q8NAG6	ENSG00000160117.16
Q86XL3	ENSG00000176915.15
Q9BQD7	ENSG00000103254.10
Q15327	ENSG00000148677.7
Q9GZV1	ENSG00000165887.12
Q9Y2G4	ENSG00000135299.18
Q92527	ENSG00000106013.15
Q96BM1	ENSG00000156381.9
Q6ZW76	ENSG00000168096.15
Q68DC2	ENSG00000165138.18
A6NFN9	ENSG00000206199.11
Q9P2S6	ENSG00000144504.16
Q8IV38	ENSG00000106524.9
Q9H8Y5	ENSG00000163516.14
Q9NQW6	ENSG00000011426.11
Q99873	ENSG00000126457.22
P55345	ENSG00000160310.20
O60678	ENSG00000185238.13
O14744	ENSG00000100462.16
Q96LA8	ENSG00000198890.9
Q9NVM4	ENSG00000132600.18
Q9NR22	ENSG00000111218.12
Q6P2P2	ENSG00000164169.13
Q9NW15	ENSG00000160746.13
Q5XXA6	ENSG00000131620.18
Q9NQ90	ENSG00000047617.18
Q9BYT9	ENSG00000134343.14
Q32M45	ENSG00000151572.18
Q32M45	ENSG00000262139.9
Q75V66	ENSG00000171714.13
Q4KMQ2	ENSG00000177119.17
Q6IWH7	ENSG00000146205.15
Q9HCE9	ENSG00000074855.11
A1A5B4	ENSG00000185101.13
P16066	ENSG00000169418.10
P20594	ENSG00000159899.16
P17342	ENSG00000113389.16
Q9NXR5	ENSG00000088448.14
Q6UB99	ENSG00000167522.18
Q6UB98	ENSG00000101745.17
Q6P6B7	ENSG00000134461.16
O75179	ENSG00000132466.20
Q5VYY1	ENSG00000152766.6
Q86SG2	ENSG00000163126.15
Q8TF21	ENSG00000089847.13
Q9UPS8	ENSG00000107890.17
Q96NW4	ENSG00000105186.16
O15084	ENSG00000206560.12
Q8N6D5	ENSG00000154065.17
Q8N7Z5	ENSG00000145700.10
Q8N283	ENSG00000198483.13
